ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
SLVP,0.10465793407447033,60d,-0.10996389466180526,0.03413722985440437,0.23327100489628771,0.381805832694459,0.4911122832510237,0.8333333333333334,0.8,0.567,0.9,0.8,0.6,30,10,Materials,,iShares MSCI Global Silver Miners Fund,1.11
RGLD,0.10410953453804073,60d,-0.048721947532767304,0.0523797457685124,0.17368052116703048,0.27485165877623474,0.44866750325391885,0.8333333333333334,0.767,0.7,0.9,0.8,0.5,30,10,Materials,,"Royal Gold, Inc.",0.64
NTR,0.10391874505190057,60d,-0.08407707937825995,-0.011848098063796608,0.1085752832701854,0.13994612374021875,0.23589664661711066,0.7,0.7,0.7,0.6,0.6,0.6,30,10,Materials,,Nutrien Ltd.,0.36
KRMN,0.10381079888726896,60d,0.16947466525850127,0.28576346403083364,0.33082084543492996,0.4034258413007741,0.4955154670275,1.0,1.0,0.75,1.0,1.0,0.75,8,4,Industrials,,Karman Holdings Inc.,2.11
BBWI,0.10231535253725121,60d,-0.18741268407140443,-0.15476867207560868,0.04101722499055904,0.1588943766304799,0.23759540999940765,0.5666666666666667,0.433,0.633,0.6,0.4,0.6,30,10,Consumer Discretionary,Specialty Retail,"Bath & Body Works, Inc.",1.41
BG,0.1006971380674262,60d,-0.18538475663434104,-0.06180972716444719,0.11786123926562042,0.15421122492301237,0.2207317507550594,0.6666666666666666,0.667,0.667,0.5,0.5,0.5,30,10,Consumer Staples,Farm Products,Bunge Global SA,0.31
CMG,0.09912664713401076,60d,-0.15311999285879163,-0.1258113959158604,0.06987512751807545,0.1460844520457238,0.22525065236322306,0.6,0.6,0.6,0.5,0.5,0.5,30,10,Semiconductors,Restaurants,"Chipotle Mexican Grill, Inc.",0.83
CHTR,0.09615961356053271,60d,-0.18767848582113764,-0.06974370453320897,0.023874064748821144,0.11403471976570201,0.12635263298155164,0.5,0.5,0.767,0.4,0.4,0.6,30,10,Communication Services,Telecom Services,"Charter Communications, Inc.",0.68
HIMS,0.09609037327772207,60d,-0.394676707958189,-0.15501516322603706,0.3428492817665283,0.4888699054394219,0.5307250915378513,0.6333333333333333,0.667,0.533,0.6,0.6,0.5,30,10,Healthcare,,"Hims & Hers Health, Inc.",2.23
AMRZ,0.09591607309788636,60d,-0.007218724258746159,0.03704790200214447,0.08981802985048759,0.11330676970043718,0.15356511734891348,0.8571428571428571,0.857,0.857,0.667,0.667,0.667,7,3,Materials,Building Materials,Amrize Ltd,0.87
SILJ,0.09512055641686079,60d,-0.16387950265196127,0.007963386430413,0.2146857905054823,0.38021147780812026,0.47190368028787977,0.7666666666666667,0.767,0.533,0.8,0.8,0.6,30,10,Materials,,Amplify Junior Silver Miners ETF,1.24
PAAS,0.0950017592829705,60d,-0.04148169959969294,-0.002401352780559529,0.2040063769353354,0.4713333488056269,0.6089006291240308,0.7,0.8,0.567,0.8,0.8,0.6,30,10,Materials,,Pan American Silver Corp.,1.08
UNG,0.09408518368591534,60d,-0.16494314189879108,-0.04380600620492889,0.020251024318655997,0.17552634728754546,0.3093521464220969,0.6333333333333333,0.6,0.867,0.6,0.6,0.7,30,10,Energy,,United States Natural Gas Fund LP,0.02
